#  step      rmse_val    rmse_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
   1330      4.48e+01    4.11e+00      1.42e+00    1.30e-01    5.0e-04
   1340      5.58e+01    6.99e+00      1.77e+00    2.21e-01    5.0e-04
   1350      5.11e+01    4.81e+00      1.62e+00    1.52e-01    5.0e-04
   1360      4.61e+01    3.01e+00      1.46e+00    9.52e-02    5.0e-04
   1370      3.90e+01    3.04e+00      1.23e+00    9.61e-02    5.0e-04
   1380      4.99e+01    4.83e+00      1.58e+00    1.53e-01    5.0e-04
   1390      4.38e+01    4.46e+00      1.38e+00    1.41e-01    5.0e-04
   1400      6.22e+01    3.47e+00      1.97e+00    1.10e-01    5.0e-04
   1410      4.92e+01    3.78e+00      1.56e+00    1.19e-01    5.0e-04
   1420      4.14e+01    3.73e+00      1.31e+00    1.18e-01    5.0e-04
   1430      4.42e+01    4.47e+00      1.40e+00    1.41e-01    5.0e-04
   1440      4.70e+01    4.73e+00      1.48e+00    1.49e-01    5.0e-04
   1450      5.41e+01    3.69e+00      1.71e+00    1.17e-01    5.0e-04
   1460      5.91e+01    3.15e+00      1.87e+00    9.96e-02    5.0e-04
   1470      4.81e+01    6.56e+00      1.52e+00    2.07e-01    5.0e-04
   1480      4.59e+01    2.73e+00      1.45e+00    8.64e-02    5.0e-04
   1490      4.78e+01    3.56e+00      1.51e+00    1.13e-01    5.0e-04
   1500      4.48e+01    5.50e+00      1.42e+00    1.74e-01    5.0e-04
   1510      5.01e+01    4.16e+00      1.58e+00    1.32e-01    5.0e-04
   1520      5.10e+01    3.67e+00      1.61e+00    1.16e-01    5.0e-04
   1530      4.90e+01    4.45e+00      1.55e+00    1.41e-01    5.0e-04
   1540      5.49e+01    3.05e+00      1.74e+00    9.66e-02    5.0e-04
   1550      4.80e+01    6.62e+00      1.52e+00    2.09e-01    5.0e-04
   1560      4.52e+01    5.50e+00      1.43e+00    1.74e-01    5.0e-04
   1570      4.71e+01    4.49e+00      1.49e+00    1.42e-01    5.0e-04
   1580      5.16e+01    5.12e+00      1.63e+00    1.62e-01    5.0e-04
   1590      4.49e+01    6.17e+00      1.42e+00    1.95e-01    5.0e-04
   1600      5.07e+01    3.51e+00      1.60e+00    1.11e-01    5.0e-04
   1610      4.33e+01    5.93e+00      1.37e+00    1.87e-01    5.0e-04
   1620      5.46e+01    5.94e+00      1.73e+00    1.88e-01    5.0e-04
   1630      4.82e+01    2.87e+00      1.52e+00    9.09e-02    5.0e-04
   1640      4.78e+01    5.10e+00      1.51e+00    1.61e-01    5.0e-04
   1650      5.03e+01    3.93e+00      1.59e+00    1.24e-01    5.0e-04
   1660      4.54e+01    3.59e+00      1.44e+00    1.13e-01    5.0e-04
   1670      5.10e+01    6.25e+00      1.61e+00    1.98e-01    5.0e-04
   1680      5.36e+01    4.91e+00      1.70e+00    1.55e-01    5.0e-04
   1690      4.92e+01    4.41e+00      1.56e+00    1.39e-01    5.0e-04
   1700      4.70e+01    2.07e+00      1.49e+00    6.54e-02    5.0e-04
   1710      5.05e+01    7.05e+00      1.60e+00    2.23e-01    5.0e-04
   1720      5.34e+01    4.87e+00      1.69e+00    1.54e-01    5.0e-04
   1730      5.02e+01    5.54e+00      1.59e+00    1.75e-01    5.0e-04
   1740      4.34e+01    6.34e+00      1.37e+00    2.01e-01    5.0e-04
   1750      4.91e+01    4.01e+00      1.55e+00    1.27e-01    5.0e-04
   1760      4.45e+01    5.82e+00      1.41e+00    1.84e-01    5.0e-04
   1770      4.11e+01    4.64e+00      1.30e+00    1.47e-01    5.0e-04
   1780      6.21e+01    2.15e+00      1.96e+00    6.79e-02    5.0e-04
   1790      5.05e+01    4.75e+00      1.60e+00    1.50e-01    5.0e-04
   1800      4.71e+01    5.05e+00      1.49e+00    1.60e-01    5.0e-04
   1810      5.10e+01    5.62e+00      1.61e+00    1.78e-01    5.0e-04
   1820      5.28e+01    2.88e+00      1.67e+00    9.09e-02    5.0e-04
   1830      5.28e+01    3.26e+00      1.67e+00    1.03e-01    5.0e-04
   1840      4.70e+01    3.95e+00      1.49e+00    1.25e-01    5.0e-04
   1850      5.58e+01    3.88e+00      1.77e+00    1.23e-01    5.0e-04
   1860      4.82e+01    3.00e+00      1.53e+00    9.49e-02    5.0e-04
   1870      4.78e+01    5.22e+00      1.51e+00    1.65e-01    5.0e-04
   1880      4.40e+01    3.63e+00      1.39e+00    1.15e-01    5.0e-04
   1890      4.68e+01    5.48e+00      1.48e+00    1.73e-01    5.0e-04
   1900      5.23e+01    3.44e+00      1.65e+00    1.09e-01    5.0e-04
   1910      4.74e+01    4.23e+00      1.50e+00    1.34e-01    5.0e-04
   1920      4.81e+01    5.14e+00      1.52e+00    1.63e-01    5.0e-04
   1930      4.56e+01    7.40e+00      1.44e+00    2.34e-01    5.0e-04
   1940      5.24e+01    2.07e+00      1.66e+00    6.53e-02    5.0e-04
   1950      4.67e+01    6.11e+00      1.48e+00    1.93e-01    5.0e-04
   1960      4.45e+01    4.01e+00      1.41e+00    1.27e-01    5.0e-04
   1970      4.50e+01    3.61e+00      1.42e+00    1.14e-01    5.0e-04
   1980      5.01e+01    5.79e+00      1.58e+00    1.83e-01    5.0e-04
   1990      5.18e+01    4.90e+00      1.64e+00    1.55e-01    5.0e-04
   2000      6.33e+01    6.13e+00      2.00e+00    1.94e-01    5.0e-04
   2010      6.25e+01    5.81e+00      1.98e+00    1.84e-01    5.0e-04
   2020      4.54e+01    4.71e+00      1.43e+00    1.49e-01    5.0e-04
   2030      5.77e+01    5.43e+00      1.83e+00    1.72e-01    5.0e-04
   2040      5.86e+01    5.43e+00      1.85e+00    1.72e-01    5.0e-04
   2050      4.72e+01    6.43e+00      1.49e+00    2.03e-01    5.0e-04
   2060      4.68e+01    6.60e+00      1.48e+00    2.09e-01    5.0e-04
   2070      5.44e+01    3.88e+00      1.72e+00    1.23e-01    5.0e-04
   2080      4.47e+01    3.41e+00      1.41e+00    1.08e-01    5.0e-04
   2090      5.32e+01    5.10e+00      1.68e+00    1.61e-01    5.0e-04
   2100      4.35e+01    5.49e+00      1.38e+00    1.74e-01    5.0e-04
   2110      5.11e+01    3.13e+00      1.62e+00    9.88e-02    5.0e-04
   2120      4.39e+01    5.18e+00      1.39e+00    1.64e-01    5.0e-04
   2130      4.96e+01    4.05e+00      1.57e+00    1.28e-01    5.0e-04
   2140      4.87e+01    4.33e+00      1.54e+00    1.37e-01    5.0e-04
   2150      5.36e+01    5.96e+00      1.70e+00    1.89e-01    5.0e-04
   2160      6.02e+01    2.62e+00      1.90e+00    8.27e-02    5.0e-04
   2170      4.84e+01    3.11e+00      1.53e+00    9.82e-02    5.0e-04
   2180      5.30e+01    4.55e+00      1.68e+00    1.44e-01    5.0e-04
   2190      4.53e+01    6.92e+00      1.43e+00    2.19e-01    5.0e-04
