 -1.6492e+03  3.0267e+03  1.3745e+03  1.2836e+03  1.7437e+03  1.1237e+02 -3.5538e+02  1.9105e+03  6.7103e+00 -9.9373e+02 -5.3986e+02  1.6206e+03  2.0701e+04 -3.0713e+04 -3.6956e+04  1.4566e+04 -2.1274e+04 -1.3336e+04 -7.4082e+04  1.0623e+05  1.3141e+05 -1.2871e+03  2.0936e+03  1.3232e+03 -3.8722e+02 -1.5990e+02 -3.7381e+02 -2.8114e+01  3.5698e+01 -7.8438e+01  3.9462e+02 -1.0818e+02 -1.7728e+02
 -2.4604e+03 -6.0430e+02 -1.8554e+02  2.6585e+03 -1.4465e+03  7.3540e+02  3.1555e+02  3.8847e+01 -3.8411e+02  1.6714e+02  3.1899e+02  2.8072e+02 -1.3632e+04 -1.0124e+03 -7.9605e+02 -3.4975e+02  1.3291e+03 -5.1675e+02 -2.9814e+03  1.1248e+03 -1.2871e+03  5.1527e+04 -5.1768e+03  8.1235e+03 -1.6270e+04  1.5010e+04 -7.4165e+03 -1.2167e+04 -5.9577e+03  6.9662e+02 -8.1136e+03 -1.3820e+04  3.3498e+03
 -2.4706e+03 -1.2487e+03 -9.3997e+01 -5.6498e+03 -2.6734e+03  4.6300e+02 -6.9230e+02 -1.3214e+03  6.6725e+02 -5.6480e+02 -1.5487e+03  2.5952e+02  5.7269e+02 -5.6337e+03 -4.8880e+02  1.5412e+03  4.7888e+02 -6.5964e+02  6.4972e+03  1.3261e+03  2.0936e+03 -5.1768e+03  6.9180e+04 -1.9626e+04  1.4891e+04 -3.3965e+04  1.3057e+04 -8.3890e+03 -1.8958e+04  3.7602e+03 -1.9374e+03 -4.8933e+01 -5.9727e+01
  4.8603e+02  2.4707e+02 -2.5531e+02  2.2479e+03  1.2312e+03  1.4503e+03  1.9957e+02  6.5529e+02 -1.9211e+02  2.7816e+02  5.6661e+02  1.8358e+02 -1.3664e+03 -7.7848e+02 -7.2525e+03 -9.3291e+03  8.5082e+01 -4.6122e+02  5.5157e+03  3.2837e+02  1.3232e+03  8.1235e+03 -1.9626e+04  2.5815e+04 -7.3735e+03  1.3079e+04 -1.1297e+04  1.5715e+03  4.2045e+03 -5.4734e+03 -9.2612e+02 -2.2313e+03  1.4027e+03
 -9.4650e+02  1.7788e+02 -2.8438e+02  2.2681e+02  1.3580e+03 -1.1701e+02 -4.5143e+02  4.8158e+02 -3.2084e+01 -2.9592e+02  3.1735e+02 -3.7761e+02 -1.8282e+03  2.1309e+03 -1.4218e+03 -1.2681e+03 -1.0225e+01  1.5047e+02 -8.4812e+02 -2.0994e+02 -3.8722e+02 -1.6270e+04  1.4891e+04 -7.3735e+03  1.5169e+04 -1.4771e+04  7.7137e+03  1.9335e+03 -9.7145e+02  4.0016e+02  4.7914e+02  1.3795e+03 -1.5129e+02
 -1.0345e+03  4.2975e+02 -2.5036e+02  3.6296e+03  3.1277e+02 -9.9453e+01  1.3018e+01  4.1940e+02 -9.0949e+01 -1.3665e+02  4.3452e+02 -2.6722e+02  9.7720e+02 -1.1988e+03  1.2419e+03  5.2184e+02  1.3841e+02  2.0965e+01 -7.8583e+01  8.5596e+01 -1.5990e+02  1.5010e+04 -3.3965e+04  1.3079e+04 -1.4771e+04  3.4258e+04 -1.4291e+04  4.9751e+02 -4.5192e+03  2.3132e+03  1.6027e+03 -1.3107e+02 -1.6709e+02
  1.5188e+02 -2.8795e+01  2.9750e+02 -9.3441e+02 -5.1458e+02 -1.7925e+03  1.9827e+02 -1.7322e+02  7.3003e+01 -2.7599e+02 -1.6352e+01 -9.7622e+01 -1.0067e+03  1.4528e+03  1.0495e+03  6.0891e+02 -8.1070e+01 -6.6507e+00 -1.0844e+03 -1.7910e+02 -3.7381e+02 -7.4165e+03  1.3057e+04 -1.1297e+04  7.7137e+03 -1.4291e+04  8.5972e+03 -1.2843e+02  2.0448e+03  8.9733e+02 -2.3160e+02 -2.0788e+02 -1.3769e+03
 -1.4510e+02 -2.9321e+02  4.8976e+01 -5.1112e+02  7.7369e+02 -3.5309e+02 -4.3665e+02 -2.5244e+02  3.1799e+01 -4.2556e+02 -2.5405e+02  1.2069e+01 -1.9001e+03 -2.0852e+03  2.9888e+02  1.2152e+02 -4.9218e+02  5.4165e+02  3.8803e+02 -6.7438e+02 -2.8114e+01 -1.2167e+04 -8.3890e+03  1.5715e+03  1.9335e+03  4.9751e+02 -1.2843e+02  3.6651e+04  5.5182e+03  4.2667e+03 -1.0377e+05  1.4169e+04 -2.3327e+04
 -2.3745e+02  5.2430e+01 -3.1583e+00  1.8071e+03  8.0079e+02  5.2248e+00  1.2860e+02  3.2033e+02  3.9966e+02  2.7407e+02 -5.9458e+00 -4.7697e+02 -6.4958e+02 -9.0347e+01  1.1902e+02 -1.5534e+02 -5.8441e+02  3.3304e+02 -4.2074e+02 -7.3634e+02  3.5698e+01 -5.9577e+03 -1.8958e+04  4.2045e+03 -9.7145e+02 -4.5192e+03  2.0448e+03  5.5182e+03  2.3471e+04 -6.5602e+03  3.9373e+03 -9.7642e+03  2.7847e+03
  2.8913e+01 -1.3347e+01  1.7433e+02 -7.2496e+02 -1.8363e+02 -1.6884e+02 -9.2373e+01 -1.6339e+02 -1.9215e+02 -1.9091e+02 -8.0060e+01  1.2304e+02 -2.1771e+02 -1.4334e+02  5.8208e+02  5.8434e+02  2.1347e+02  3.6133e+01 -2.8328e+02  4.7358e+01 -7.8438e+01  6.9662e+02  3.7602e+03 -5.4734e+03  4.0016e+02  2.3132e+03  8.9733e+02  4.2667e+03 -6.5602e+03  5.5786e+03 -1.9645e+04  4.6546e+03 -9.2902e+03
